timestamp,sn,text,EST
2019-05-23 03:41:54,BrianHiam,Made me sad to not have an @AmazingRaceCBS to watch last week.  Made me so happy when we pulled up the DVR to find… https://t.co/lHTFNqfWQq,2019-05-22 22:41:54
2019-05-23 03:41:54,heybrittrob,RT @IGIF_: Elisa to Rachel. 😂 #AmazingRace #TAR31 https://t.co/8w2fbjuaEU,2019-05-22 22:41:54
2019-05-23 03:41:38,SuperCoolCarly,I'm surprised all these botoxed ladies can still cry. #AmazingRace #plasticlips,2019-05-22 22:41:38
2019-05-23 03:41:36,Spyglas08492298,Totally agree!! #teamfun #positive #AmazingRace #TAR31 https://t.co/S9tLSgDB6B https://t.co/k7FekWminU,2019-05-22 22:41:36
2019-05-23 03:40:57,mssrfcali,Rigged! Can you make it less obvious @AmazingRaceCBS You make every challenge music geared for #TeamFun WTF! Not fa… https://t.co/iSSLtsNmvA,2019-05-22 22:40:57
2019-05-23 03:40:09,thrllsnsplls,"Zen Colin at the rave.  😆

#AmazingRace #TAR31 https://t.co/vvpDnAe3FQ",2019-05-22 22:40:09
2019-05-23 03:39:56,realityTVstud,nooooo @JanellePierzina you were my pick to win and it's been such a great time watching you in challenges again. i… https://t.co/pcfLZjtF40,2019-05-22 22:39:56
2019-05-23 03:39:09,justinlosacco,"This is the 31st season of @AmazingRaceCBS, and the Dubai leg may have been the best of the entire series #AmazingRace",2019-05-22 22:39:09
2019-05-23 03:38:46,Spyglas08492298,@FightYouForIt1 I could do without both of these teams! Both are whiny..ugh! Bring real contestants on the show!! T… https://t.co/TpM9jZ7Iz6,2019-05-22 22:38:46
2019-05-23 03:38:17,ObiWOKE_Kenobi,Oh snap? Two episodes? My night just got even better. #AmazingRace,2019-05-22 22:38:17
2019-05-23 03:38:14,riikabob,"Oh wow, this challenge is not what they thought it was. Well played, #AmazingRace.",2019-05-22 22:38:14
2019-05-23 03:37:25,peiffer_tanner,I’ve always been a huge fan of Rachel. Other people have disagreed with me on it but I just cant stop loving her pe… https://t.co/jwy9Hm2vU4,2019-05-22 22:37:25
2019-05-23 03:36:12,OCannaday32,"RT @tyleroakley: tonight on #AmazingRace, queer contestants were sent to locations where being queer is a crime. being there with protectio…",2019-05-22 22:36:12
2019-05-23 03:36:12,XoBabyDollXo,Noo @JanellePierzina &amp; @britney_haynes were eliminated 😭💔  Sucks they had to compete against @RachelEReilly &amp;… https://t.co/C9OqXdJhe0,2019-05-22 22:36:12
2019-05-23 03:35:39,oshawotter,"RT @Brian_Scally: Me when Phil tells Rachel and Elissa it’s a non elimination leg:
#AmazingRace https://t.co/9edTtGsKdR",2019-05-22 22:35:39
2019-05-23 03:35:29,sjn1922,@AmazingRaceCBS Come on Afghanimals pass the TEST!!!! #AmazingRace,2019-05-22 22:35:29
2019-05-23 03:34:32,ObiWOKE_Kenobi,Elissa being annoyed by Rachel crying is the funniest thing I’ve seen today lmao #AmazingRace,2019-05-22 22:34:32
2019-05-23 03:33:49,Green4Lori,"RT @SarahQuider: Phil is excited for another episode! #winegirls #amazingrace 
@PhilKeoghan @AmazingRaceCBS @jodiwincheski https://t.co/yH7…",2019-05-22 22:33:49
2019-05-23 03:33:48,LeslieGzz,RT @ericaeff: Rachel and Elissa are pure comedy. 😂 love them. #AmazingRace,2019-05-22 22:33:48
2019-05-23 03:33:29,Green4Lori,"RT @SarahQuider: Still waiting for our call: https://t.co/tY3FKUCIkb
#winegirls #amazingrace @AmazingRaceCBS @PhilKeoghan @jodiwincheski @E…",2019-05-22 22:33:29
2019-05-23 03:32:19,jojoanello,"RT @SarahQuider: Still waiting for our call: https://t.co/tY3FKUCIkb
#winegirls #amazingrace @AmazingRaceCBS @PhilKeoghan @jodiwincheski @E…",2019-05-22 22:32:19
